id,eta_th1_SAEM,eta_th2_SAEM,eta_th1_mean,eta_th2_mean,eta_th1_mode,eta_th2_mode,eta_th1_sd,eta_th2_sd,treatment
37,0.454553,-0.0393438,0.513322,-0.0319434,0.632126,-0.0308092,0.969764,0.191309,0
38,-0.475752,-0.0181802,-0.509979,-0.0210793,-0.325656,-0.0131348,1.04694,0.200379,0
39,-0.406641,-0.0148323,-0.439295,-0.019566,-0.325656,-0.0131347,1.05327,0.202743,0
40,-0.418673,-0.0120858,-0.485315,-0.0263362,-0.325655,-0.0131347,1.0502,0.208988,0
41,-0.46933,-0.027423,-0.459356,-0.0249616,-0.325656,-0.0131347,1.03048,0.205444,0
42,1.22177,0.0290381,1.24231,0.0243963,1.31181,0.0566719,0.877934,0.190331,0
43,-0.419644,-0.0258873,-0.420283,-0.0176889,-0.325656,-0.0131348,0.98632,0.199683,0
44,-0.391051,-0.0400362,-0.376587,-0.0340573,-0.325656,-0.0131347,1.01256,0.196948,0
45,0.67045,0.354008,0.687461,0.355769,0.831708,0.371157,0.826353,0.159309,0
46,0.403329,0.0730035,0.362158,0.0790158,0.556496,0.0889415,0.931354,0.186774,0
47,-0.446596,-0.0269768,-0.442775,-0.036009,-0.325655,-0.0131348,0.95132,0.212263,0
48,-0.457157,-0.0260571,-0.479095,-0.0360322,-0.325656,-0.0131347,0.990155,0.196317,0
49,-0.47898,-0.0240733,-0.385518,-0.0266022,-0.325656,-0.0131348,0.989964,0.204276,0
50,-0.447212,-0.0137239,-0.407252,-0.0195969,-0.325656,-0.0131348,1.04793,0.196793,0
51,0.497715,-0.0436347,0.434177,-0.0481261,0.632126,-0.0308092,0.899221,0.194975,0
52,0.483084,0.0245576,0.503886,0.0298852,0.58383,0.049732,0.913997,0.191702,0
53,0.471189,-0.0418762,0.444403,-0.0333796,0.632126,-0.0308093,0.912842,0.198579,0
54,0.441425,-0.0271939,0.596113,-0.0576488,0.632126,-0.0308093,0.899224,0.198256,0
55,-0.452856,-0.0334756,-0.404085,-0.0135133,-0.325656,-0.0131347,1.01107,0.204395,0
